year,page,pdf_field_name,short_key,field_type,semantic_label,rect_x0,rect_y0,rect_x1,rect_y1
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_27[0],f1_27,Text,Line 4b - IRA distributions (taxable),353.8,378.0,416.9,390.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].c1_17[0],c1_17,CheckBox,,453.2,380.0,461.2,388.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].c1_18[0],c1_18,CheckBox,,532.4,380.0,540.4,388.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_28[0],f1_28,Text,Line 5b - Pensions/annuities (taxable),93.6,390.0,265.6,402.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_29[0],f1_29,Text,Line 6b - Social Security (taxable),266.4,390.0,352.8,402.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_30[0],f1_30,Text,Line 7 - Capital gain/loss,353.8,390.0,416.9,402.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].c1_19[0],c1_19,CheckBox,,453.2,392.0,461.2,400.0
2023,1,topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].c1_20[0],c1_20,CheckBox,,532.4,392.0,540.4,400.0
2023,1,topmostSubform[0].Page1[0].f1_31[0],f1_31,Text,Line 8 - Additional income (Sch 1),504.0,402.0,576.0,414.0
2023,1,topmostSubform[0].Page1[0].f1_32[0],f1_32,Text,Line 9 - Total income,504.0,414.0,576.0,426.0
2023,1,topmostSubform[0].Page1[0].f1_33[0],f1_33,Text,Line 10 - Adjustments (Sch 1),504.0,426.0,576.0,438.0
2023,1,topmostSubform[0].Page1[0].f1_34[0],f1_34,Text,Line 11 - AGI,504.0,438.0,576.0,450.0
2023,1,topmostSubform[0].Page1[0].f1_35[0],f1_35,Text,Line 12 - Standard/Itemized deduction,504.0,450.0,576.0,462.0
2023,1,topmostSubform[0].Page1[0].f1_36[0],f1_36,Text,Line 13 - QBI deduction,504.0,462.0,576.0,474.0
2023,1,topmostSubform[0].Page1[0].f1_37[0],f1_37,Text,Line 14 - Total deductions,504.0,474.0,576.0,486.0
